sms,opening,lastmodified,image3,postal,latitude,image6,name,whatsapp,street,cuisine,image4,image5,inperson,menuitem,pickup_option,website,delivery_detail,unit,call,longitude,image2,description,claps,condition,delivery,url,region,description_detail,menuprice,promo,menu,delivery_option,contact,price
false,11AM - 8.30PM,,,538776,1.375429016,,SOD cafe,true,51 HOUGANG AVENUE 9 CI YUAN HAWKER CENTRE SINGAPORE 538776,,,,true,,true,https://sodcafe.oddle.me/en_SG/,"Min. order $30.
Free delivery for orders $50 and up. ",,false,103.88297800000001,,"
Western",0,,,https://thesmartlocal.com/wp-content/uploads/directory/88-SOD-cafe.png,,"Chicken supreme, customised spaghetti & baked rice",,,false,true,92983356,$10
false,12PM - 10PM,,,650359,1.361343704,,Anything Lah Ngoh Hiang Prawn Fritters,false,359 BUKIT BATOK STREET 31 HDB-BUKIT BATOK SINGAPORE 650359,,,,true,,true,,"$5 to Bukit Gombak areas.
Free delivery for orders $30 and up. ",,true,103.75123070000001,,"
Chinese",0,,,https://thesmartlocal.com/wp-content/uploads/directory/7-Anything-Lah-Ngoh-Hiang-Prawn-Fritters.png,,Recommended: Smoked Duck,,,false,true,87826563,$0
false,Daily: 11am - 9pm,,,129581,1.314231317,,Rojak Story,true,3151 COMMONWEALTH AVENUE WEST GRANTRAL MALL @ CLEMENTI SINGAPORE 129581,,,,true,,true,https://www.facebook.com/RojakStorySG/,,#01-26,false,103.76509759999999,,Unique twist on Rojak,0,,,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587365425449_FB_IMG_1587178992629%20-%20Chia%20Tanya.jpg?alt=media&token=7e98592a-6f42-4bab-be59-4b4724124506,,"Hi everyone, we are RojakStory, an up and coming brand serving Rojak with a unique twist right in our heartlands. Our current 2 locations are at 3151 Commonwealth Ave W, #01-26, Grantral Mall, Singapore 129581, & City Square Mall Level 4 Food Republic. Come drop by to dapao from us and try it for yourself if you are living in the vicinity. If you stay further away, fret not, we are available for islandwide delivery too.Our rojak retains some key features of the main dish, while having new elements such as cod fish flakes, quail eggs and popcorn chicken. You are free to customize it and tailor it to your preferred palate. We also have 2 sauce choices, the traditional Black shrimp paste sauce (a secret recipe) and the newly innovated White vegetarian sauce with a citrusy hit for the healthy lifestyle warriors. We look forward to your support and dropping off these goodies at your door.Whatsapp your order to us now 9737 0177!",,,false,true,97370177,$5 (min. order $25)
false,12PM - 9PM,,,659003,1.3657480169999998,,Cheval ChiBao,false,2 BUKIT BATOK WEST AVENUE 7 HOMETEAMNS BUKIT BATOK GOLF DRIVING RANGE SINGAPORE 659003,,,,true,,true,,Free islandwide delivery with orders $35 and up. ,,false,103.74848,,"
Chinese",0,,,https://thesmartlocal.com/wp-content/uploads/directory/110-Cheval-ChiBao.png,,"Recommended: Signature Truffle Fried Rice
Order online: https://www.chibao.com.sg/",,,false,true,,
false,11AM - 8PM,,,486350,1.336845807,,The Shepherd's Pie ,false,3015 BEDOK NORTH STREET 5 SHIMEI EAST KITCHEN SINGAPORE 486350,,,,true,,true,http://www.theshepherdspie.com/,"Free islandwide delivery, Min. order $65. ",,false,103.9474309,,"
Western",1,,,https://thesmartlocal.com/wp-content/uploads/directory/100-The-Shepherds-Pie.png,,Classic Beef and Black Pepper Chicken,,,false,true,,
true,"Mon - Sat 10:00 am - 7:00 pm, 10:00 am - 7:00 pm",,,348536,1.329896165,,Yes! Chicken,true,171 MACPHERSON ROAD SENNETT ESTATE SINGAPORE 348536,,,,true,,true,https://www.foodpanda.sg/restaurant/x2tb/yes-chicken#restaurant-info,,No. 171,true,103.87401740000001,,Hainaese Chicken Rice and more!,0,,,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587365180282_8C6876AA-9770-4E74-AC24-40F744498D77%20-%20Consultants%20Goen.jpeg?alt=media&token=1c9c2583-2b6f-4909-96ec-d591e79b853b,,"Gourmet Street Coffeeshop (Nearest MRT Potong Pasir)Chicken Rice, Fried Chicken, Mixed Vegetables Rice, You Tiao, Nonya Kueh. Cash only.For orders and enquiries call +65 82003662.Find us on Grab, Food Panda, Deliveroo.",,,false,true,82003662,0
false,12PM - 10PM,,,828670,1.41494973,,Channel Sam,false,11 NORTHSHORE DRIVE MINDCHAMPS PRESCHOOL@PUNGGOL NORTHSHORE PTE LTD SINGAPORE 828670,,,,true,,true,https://www.facebook.com/channelsamrestaurant/,"Free delivery to Punggol, Hougang and Sengkang areas, Min. order $50. ",,true,103.8988205,,"
Chinese, Western",5,,,https://thesmartlocal.com/wp-content/uploads/directory/42-Channel-Sam.png,,"Recommended: Chicken chop, Lamb rack, fried rice, bbq red snapper",,,false,true,85186454,$0
true,5.30PM - 10PM (Closed on Weds),,,671163,1.376938021,,163 Ikan Bakar BBQ ,true,163A GANGSA ROAD MULTI STOREY CAR PARK SINGAPORE 671163,,,,true,,true,,"6-$8 delivery on weekends to Bukit Panjang, Choa Chu Kang, Bukit Batok and Bukit Timah. ",,true,103.7643528,,"
BBQ",0,,,https://thesmartlocal.com/wp-content/uploads/directory/25-163-Ikan-Bakar-BBQ.png,,Recommended: Stingray,,,false,true,83129961,$6-$8
false,11.30AM-9PM,,,069458,1.281783729,,The Feather Blade,true,90 CLUB STREET TELOK AYER CONSERVATION AREA SINGAPORE 069458,,,,true,,true,https://www.thefeatherblade.com/,$8 islandwide delivery. Free delivery for orders $90 and up. 30% off all drinks except bottled cocktails. ,,false,103.8455257,,"
Western",5,All drinks except bottled cocktails,,https://thesmartlocal.com/wp-content/uploads/directory/156-The-Feather-Blade.png,,"The Feather Blade Steak, The Feather Blade Burger, The Feather Blade Gyudon",,30%,false,true,89219097,
false,Daily 11.45am - 11pm,,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587393040145_Screenshot_20200420-222949_Facebook.jpg?alt=media&token=1582ba1e-f86d-426d-b26b-0fd5317a3bb9,390051,1.308109821,,Lao Fu Zi Char Kway Teow,true,51 OLD AIRPORT ROAD PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN BLK 51 (KN) SINGAPORE 390051,,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587393043497_Screenshot_20200420-222957_Facebook.jpg?alt=media&token=71a1d5fb-ea51-4466-9ada-0e563b7e3f52,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587393047024_Screenshot_20200420-223010_Facebook.jpg?alt=media&token=fb17b226-d5eb-423a-86db-857bdfbd35e6,true,,true,,,#01-12,false,103.88573170000001,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587393036161_Screenshot_20200420-222930_Facebook.jpg?alt=media&token=868eda9f-b7c1-4d39-a40c-f18d3f096a9c,Michelin 2018/19,0,,,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587393031907_Screenshot_20200420-222922_Facebook.jpg?alt=media&token=9262c2cb-b86f-4794-a0d8-32ca0dad1ac8,,Small $5Medium $8Large $10,,,false,true,86149191,"$6 (5km radius), $10 (islandwide)"
false,10.30AM - 4PM,,,428769,1.3033164720000001,,Bei Ing Wanton Noodles,true,50 EAST COAST ROAD GRAND MERCURE ROXY HOTEL SINGAPORE 428769,,,,true,,true,,Last order is at 3PM. No min. order. ,,false,103.9047276,,Wanton Noodles,0,,,https://thesmartlocal.com/wp-content/uploads/directory/105-Bei-Ing-Wanton-Noodles.png,,Last order is at 3PM. No min. order.,,,false,false,90467176,
false,false,,,018960,1.279114289,,CarversX ,false,8 MARINA VIEW DBS ASIA SQUARE SINGAPORE 018960,,,,true,,true,https://www.carversand.co/,DABAO ONLY. ,,false,103.8512586,,"
Western",0,,,https://thesmartlocal.com/wp-content/uploads/directory/236-CarversX.png,,"Recommended: Chicken Chop
Order online: https://www.carversand.co/",,,false,false,,
false,11.30AM - 10PM,,,039595,1.292414433,,"Pan Pacific Singapore (Pacific Marketplace, Hai Tien Lo and Keyaki)",false,7 RAFFLES BOULEVARD THE PAN PACIFIC HOTEL SINGAPORE SINGAPORE 039595,,,,true,,true,https://ppsinshop.com/,Free delivery for orders $100 and up.,,true,103.85881440000001,,"
Chinese, Western",0,<TAKEAWAY25>,,https://thesmartlocal.com/wp-content/uploads/directory/37-Pan-Pacific-Singapore.png,,"Barbecued Roasted Duck, Stewed Ee-fu Noodles with Seafood in Black Pepper Sauce, Seafood Teppan Bento, Spider Maki, Burnt Cheescake
Quote <TAKEAWAY25> for 25% off.",,25% off,false,true,68268240,$20
false,"11AM - 3PM, 5PM - 9PM (Closed on Sun)",,,138668,1.303644496,,Jun Korean BBQ & Beer,true,20 BIOPOLIS WAY BIOMEDICAL RESEARCH COUNCIL SINGAPORE 138668,,,,true,,true,https://forms.gle/wVybtbp7nz2473Dv7,"$9 islandwide delivery.
Free delivery for orders $50 and up. ",#01-01,false,103.79198520000001,,"
Korean",1,,,https://thesmartlocal.com/wp-content/uploads/directory/245-Jun-Korean-BBQ-Beer.png,,"Bulgogi Bento Set - Beef, BBQ Beef",,,false,true,98429033,$0
false,"11AM - 10PM (Mon-Fri), 9AM - 10PM (Sat-Sun)",,,455718,1.321589508,,BLACK & INK,false,29 SWAN LAKE AVENUE OPERA ESTATE SINGAPORE 455718,,,,true,,true,http://blackandink.sg/,"$19.50 islandwide delivery, min. order $30.
Free delivery for orders $50 and up. ",,true,103.92393630000001,,"
Western",12,,,https://thesmartlocal.com/wp-content/uploads/directory/90-BLACKINK.png,,"Recommended: Char Bowl, What-The-Duck, Crash Landing On U, Tipsy Otah Fries and of course our Artisanal Coffees",,,false,true,87499929,$0
true,,,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587362236384_94118891_10158303562702370_3067639576093786112_o.jpg?alt=media&token=a6e0b2e4-2661-4038-8d83-e02d8a5a2a41,120503,1.311742075,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587362265998_93361817_10158303563127370_1862889575844675584_o.jpg?alt=media&token=84dea946-ef15-4da2-a9cc-933d671ea83b,Mai Xiang Yuan,true,503 WEST COAST DRIVE AYER RAJAH FOOD CENTRE SINGAPORE 120503,,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587362239921_93122376_10158303564577370_1470726935364501504_o.jpg?alt=media&token=2a5b7589-e15e-4d6d-bc10-38389d4a6077,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587362243395_92956316_10158303565267370_3230759878490324992_o.jpg?alt=media&token=f220be62-92c7-467b-b8a7-f4bbc966bff0,true,,true,,,#01-10 (Stall 10),true,103.759812,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587362229447_94402803_10158303562527370_105416098219819008_o.jpg?alt=media&token=437e8fad-783b-487e-b132-408630c4c5b5,BBQ Chicken and Ngoh Hiong,0,,,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587362218770_93060451_10158303568507370_7078120418933997568_o.jpg?alt=media&token=8c339387-bd89-4c46-962e-f126ece393f8,,We will be opening up delivery slots for lunch and dinner daily. Pls see the details below:Lunch Order (cut-off time for order confirmation is 9pm the day before)Dinner Order (cut-off time for order confirmation is 3pm on the actual day)1. Order through call or text @ 8868 8833 https://wa.me/65886888332. Indicate your preferred date and meal slot (you may also order for the next day’s dinner slot in advance)3. Indicate location to find out respective delivery charges4. Pay for your order through PayNow or PayLah! to 98518560 (only paid orders will be scheduled for delivery)5. Sit back and wait for our smoking good dishes to arrive at your doorstep,,,false,true,88688833,0
false,11.30AM - 8PM,,,399790,1.3119225540000001,,Grapevine at Guillemard ,true,393 GUILLEMARD ROAD SINGAPORE 399790,,,,true,,true,,$8 islandwide delivery. Free delivery for orders $50 and up. ,,false,103.8882944,,"
Western",0,,,https://thesmartlocal.com/wp-content/uploads/directory/64-Grapevine-at-Guillemard.png,,"Pizza, Pasta and Main courses",,,false,true,90096861,$0
false,false,,,120325,1.315096685,,The Emerald Bakery ,true,325 CLEMENTI AVENUE 5 HDB-CLEMENTI SINGAPORE 120325,,,,true,,true,,"$5 islandwide delivery, Min. order $30. Free delivery for orders $40 and up. Delivery timings are 10AM - 7PM. ",,false,103.76681740000001,,"
Desserts & Bakery",0,,,https://thesmartlocal.com/wp-content/uploads/directory/68-The-Emerald-Bakery.png,,"Pandan Chiffon Cake, Apple Crumble Tart, Breads",,,false,true,93865601,
false,false,,,598332,1.3369081870000001,,GAIJIN: Japanese Soul Food,true,9 KING ALBERT PARK KAP SINGAPORE 598332,,,,true,,true,,Free delivery for orders less than 1KM ,#01-40,false,103.7792007,,"
Japanese",0,,,https://thesmartlocal.com/wp-content/uploads/directory/146-GAIJIN-Japanese-Soul-Food.png,,"Recommended: Katsu Curry Don, Shio Tonkotsu Ramen, Gaijin Tendon",,,false,true,91797088,$0
false,12PM-9.30PM (Closed on Sundays),,,058682,1.287699807,,Lumo Restaurant and Bar,true,50 SOUTH BRIDGE ROAD CMO BUILDING SINGAPORE 058682,,,,true,,true,https://www.lumo.sg/menu,"$5 delivery. Min. order $50.
Free delivery for orders $80 and up. ",#01-00,false,103.8482247,,"
Western, Fusion",0,,,https://thesmartlocal.com/wp-content/uploads/directory/221-Lumo-Restaurant-And-Bar.png,,"Sakura Pork, New Zealand Angus Ribeye",,,false,true,89213818,$0
false,12PM - 9PM,,,188966,1.298450474,,InterContinental Singapore,true,80 MIDDLE ROAD INTERCONTINENTAL SINGAPORE SINGAPORE 188966,,,,true,,true,,$20 islandwide delivery. Free delivery for orders $50 and up. Free delivery for orders $36 and up for Bento Delights Menu. ,,false,103.85489709999999,,"
International",0,,,https://thesmartlocal.com/wp-content/uploads/directory/263-InterContinental-Singapore.png,,,,,false,true,91837735,$0
false,12PM - 9PM,,,068735,1.28049551,,GAIG RESTAURANT,true,16 STANLEY STREET TELOK AYER CONSERVATION AREA SINGAPORE 068735,,,,true,,true,,Preorder 2 hours in advance. ,,false,103.8480184,,"
Western, Mediterranean",0,,,https://thesmartlocal.com/wp-content/uploads/directory/185-GAIG-RESTAURANT.png,,Recommended: CANNELLONI,,,false,true,97712674,
false,12PM-5PM,,,757437,1.4630356709999999,,Pressed Nature,true,8A ADMIRALTY STREET FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,,,,true,,true,https://pressednature.com/product-category/detox-cleanse/,Free delivery ,,false,103.8142474,,"
Drinks",0,,,https://thesmartlocal.com/wp-content/uploads/directory/153-Pressed-Nature.png,,3-Day Cold Pressed Juice Cleanse,,,false,true,96674849,$0
false,11AM-8PM,,,229208,1.312207362,,La Taperia,true,31 HOOPER ROAD SINGAPORE 229208,,,,true,,true,https://lataperia.oddle.me/,"$10 islandwide delivery. Min. order $80.
Free delivery for orders $150 and up.",#02-10/11,false,103.84366729999999,,"
Spanish",0,,,https://thesmartlocal.com/wp-content/uploads/directory/145-La-Taperia.png,,"Recommended: Charcoal Grilled Lamb Rib, Squid Ink Seafood Paella, Chorizo Y Pollo, Croquetas
No GST or service charge for self-collection. ",,,false,true,89403875,$10
false,false,,,188213,1.302000263,,The Ramen House,true,6 SHORT STREET SINGAPORE 188213,,,,true,,true,https://www.theramenhouse.sg/,$5 delivery. Min. order $30. Free delivery for orders $50 and up. 20% of takeaways. ,,false,103.8504704,,"
Japanese",3,Takeaway,,https://thesmartlocal.com/wp-content/uploads/directory/225-The-Ramen-House.png,,"Volcano ramen, Don, okonomiyaki and Sushi",,20%,false,true,87330426,$5
false,false,,,347836,1.328850893,,Staple Food Singapore,true,2 TAI THONG CRESCENT THE VENUE SHOPPES SINGAPORE 347836,,,,true,,true,,"$5 islandwide delivery, free delivery within 5km radius, Min. order $25. ",,false,103.8691847,,"
Western",0,,,https://thesmartlocal.com/wp-content/uploads/directory/32-Staple-Food-Singapore.png,,Customized Warm Craft Bowl,,,false,true,97399626,$5
false,10.30AM - 8.30PM,,,079903,1.275735681,,DOCO Donburi ,false,10 ANSON ROAD CONSULATE-GENERAL OF THE REPUBLIC OF MALTA SINGAPORE 079903,,,,true,,true,https://tiny.cc/5hjvmz,$5 islandwide. Free delivery for orders $50 and up. ,,true,103.8457032,,"
Japanese",0,,,https://thesmartlocal.com/wp-content/uploads/directory/13-DOCO-Donburi.png,,Recommended: Sh-nack Donburi (beef),,,false,true,90499926,$0
false,11.30AM - 8PM,,,238895,1.3010065690000001,,GO Noodle House ,true,313 ORCHARD ROAD OCBC 313@SOMERSET SINGAPORE 238895,,,,true,,true,https://gonoodle.oddle.me/en_SG,Min. order $35. ,#B3-37/78,false,103.83824659999999,,"
Chinese, Malaysian",0,,,https://thesmartlocal.com/wp-content/uploads/directory/230-GO-Noodle-House.png,,"Recommended: Bursting Meatballs, Double Bursting Meatballs stuffed with Mentaiko, Hakka Sauce Dry Pan Mian, Trio Platter of Snacks",,,false,true,97337323,$5
false,11.30AM - 9PM,,,249684,1.30468171,,Min Jiang at Dempsey,false,7A DEMPSEY ROAD DEMPSEY CLUSTER (TANGLIN VILLAGE) SINGAPORE 249684,,,,true,,true,https://minjiangdempsey.oddle.me/en_SG/,"$10 islandwide delivery (except Jurong Island), Min. order $50.
Free delivery for orders $95 and up. ",,true,103.8080355,,"
Chinese",0,,,https://thesmartlocal.com/wp-content/uploads/directory/247-Min-Jiang-at-Dempsey.png,,"Crispy Silver Hill Duck served with Homemade Crepes, Min Jiang at Dempsey Hot and Sour soup, Iberico Pork Fried Rice with XO Sauce",,,false,true,67740122,$0
false,1130AM - 10PM,,,530683,1.373312701,,Hello Summer,false,683 HOUGANG AVENUE 8 HDB-HOUGANG SINGAPORE 530683,,,,true,,true,,DABAO ONLY. ,#01-895,true,103.8863678,,"
Desserts, Drinks",12,,,https://thesmartlocal.com/wp-content/uploads/directory/84-Hello-Summer.png,,Recommended: Hello Summer Milk Tea,,,false,false,96479787,
false,11AM - 7PM,,,138617,1.30697044,,Lemuel Chocolate,false,1 VISTA EXCHANGE GREEN THE STAR VISTA SINGAPORE 138617,,,,true,,true,https://www.lemuelchocolate.com/,"Free islandwide delivery with purchase of box. Delivery timings are 1PM - 5PM, Monday.Free islandwide delivery with purchase of box. Delivery timings are 1PM - 5PM, Monday. ",#B1-31,false,103.7884203,,"
Desserts & Bakery",1,,,https://thesmartlocal.com/wp-content/uploads/directory/191-Lemuel-Chocolate.png,,Stay-Home Kits,,,false,true,,$0
false,9AM - 5PM,,,200809,1.308393967,,Oberstrasse,false,809 FRENCH ROAD KITCHENER COMPLEX SINGAPORE 200809,,,,true,,true,,Free delivery for orders $40 and up. ,,true,103.8620598,,"
Western",0,,,https://thesmartlocal.com/wp-content/uploads/directory/131-Oberstrasse.png,,"Rosti, Seafood Pasta in White Wine Cream, Wagyu Beef Bowl, Jalapeño Bacon Mac n Cheese (side)",,,false,true,96525336,$15
false,"11.20AM - 2.15PM, 5.30PM - 9.15PM",,,238956,1.294068218,,Casa Tartufo,true,6 MOHAMED SULTAN ROAD SINGAPORE 238956,,,,true,,true,,$15 islandwide. Free delivery for orders $80 and up.,,false,103.8417666,,"
Western, Italian",0,takeaway,,https://thesmartlocal.com/wp-content/uploads/directory/15-Casa-Tartufo.png,,"Recommended: Burrata, tajarin pasta, milanese, Fiorentina, truffle gelato",,10% off,false,true,85188200,$0
false,Daily: 11am - 9pm,,,208539,1.311393494,,Rojak Story,true,180 KITCHENER ROAD LEAP SCHOOLHOUSE @ CITY SQUARE MALL PTE LTD SINGAPORE 208539,,,,true,,true,https://www.facebook.com/RojakStorySG/,,Level 4 Food Republic,false,103.8564871,,Unique twist on Rojak,0,,,https://firebasestorage.googleapis.com/v0/b/hawkercentral.appspot.com/o/images%2F1587365334802_FB_IMG_1587178992629%20-%20Chia%20Tanya.jpg?alt=media&token=7381d35b-9a20-4c86-b0e9-6115963efd00,,"Hi everyone, we are RojakStory, an up and coming brand serving Rojak with a unique twist right in our heartlands. Our current 2 locations are at 3151 Commonwealth Ave W, #01-26, Grantral Mall, Singapore 129581, & City Square Mall Level 4 Food Republic. Come drop by to dapao from us and try it for yourself if you are living in the vicinity. If you stay further away, fret not, we are available for islandwide delivery too.Our rojak retains some key features of the main dish, while having new elements such as cod fish flakes, quail eggs and popcorn chicken. You are free to customize it and tailor it to your preferred palate. We also have 2 sauce choices, the traditional Black shrimp paste sauce (a secret recipe) and the newly innovated White vegetarian sauce with a citrusy hit for the healthy lifestyle warriors. We look forward to your support and dropping off these goodies at your door.Whatsapp your order to us now 9737 0177!",,,false,true,97370177,$5 (min. order $25)
false,11.30AM - 9.30PM,,,249724,1.305700029,,Hard Rock Cafe Singapore,false,50 CUSCADEN ROAD HPL HOUSE SINGAPORE 249724,,,,true,,true,,Free delivery for orders $100 and up. ,#02-01,true,103.82810490000001,,"
Western",0,,,https://thesmartlocal.com/wp-content/uploads/directory/269-Hard-Rock-Cafe-Singapore.png,,"Baby Back Ribs, Original Legendary Burger, California-style Cobb Salad and Hot Fudge Brownie",,,false,true,62355232,$0
false,11.30AM - 8PM,,,229233,1.299251355,,The Tree Cafe,true,2 HANDY ROAD FORMER CATHAY BUILDING SINGAPORE 229233,,,,true,,true,,"Free islandwide delivery, Min. order $25",,false,103.84793540000001,,"
Western",0,,,https://thesmartlocal.com/wp-content/uploads/directory/56-The-Tree-Cafe.png,,"Recommended:
Mains
@thetreecafesg 63372319",,,false,true,88155043,Free
false,"11.30AM - 2.30PM, 5PM - 8.30PM",,,038983,1.294923915,,Route 65 Bar + Kitchen,true,3 TEMASEK BOULEVARD HSBC SUNTEC CITY BRANCH SINGAPORE 038983,,,,true,,true,https://www.facebook.com/route65sg/,Free delivery for orders $30 and up. ,#01-434,false,103.85769930000001,,"
Western, Chinese, Malay",0,,,https://thesmartlocal.com/wp-content/uploads/directory/117-Route-65-Bar-Kitchen.png,,Recommended: Superstar Beef Rendang,,,false,true,91712179,$10
false,1PM - 10PM,,,347862,1.328692229,,Sweet Cheeks Gelato,false,37 TAI THONG CRESCENT SENNETT ESTATE SINGAPORE 347862,,,,true,,true,Sweet Cheeks Gelato,"$5 islandwise, Min. order $50. Free delivery within 5km radius. ",,false,103.8699349,,"
Desserts & Bakery",0,,,https://thesmartlocal.com/wp-content/uploads/directory/6-Sweet-Cheeks-Gelato.png,,"Honey Chrysanthemum With Cacao Nibs, Acai Banana, Lemoncurd With Speculoos",,,false,true,,$5
